Page,Title,Link
1,"Black Adam (2022) UHD Bluray REMUX 2160p HEVC HDR TrueHD 7.1-NOBABYCOMEBACK",https://hduse.net/topic-black-adam-2022-uhd-bluray-remux-2160p-hevc-hdr-truehd-7-1-nobabycomeback.html
1,"King Kong (1976) UHD BluRay REMUX 2160p HEVC DV DTS-HD MA 5.1-FraMeSToR",https://hduse.net/topic-king-kong-1976-uhd-bluray-remux-2160p-hevc-dv-dts-hd-ma-5-1-framestor.html
1,"Tropic Thunder (2008) Theatrical UHD BluRay REMUX 2160p DV HEVC DTS-HD MA 5.1-FraMeST",https://hduse.net/topic-tropic-thunder-2008-theatrical-uhd-bluray-remux-2160p-dv-hevc-dts-hd-ma-5-1-framest.html
1,"Three Wishes for Cinderella (2021) UHD BluRay REMUX 2160p HEVC DV DTS-HD MA 5.1",https://hduse.net/topic-three-wishes-for-cinderella-2021-uhd-bluray-remux-2160p-hevc-dv-dts-hd-ma-5-1.html
1,"The Score (2001) UHD BluRay REMUX 2160p HEVC DV DTS-HD MA 5.1-FraMeSToR",https://hduse.net/topic-the-score-2001-uhd-bluray-remux-2160p-hevc-dv-dts-hd-ma-5-1-framestor.html
1,"The Mask of Zorro (1998) UHD BluRay REMUX 2160p HEVC DV TrueHD Atmos 7.1-FraMeSToR",https://hduse.net/topic-the-mask-of-zorro-1998-uhd-bluray-remux-2160p-hevc-dv-truehd-atmos-7-1-framestor.html
1,"The Lost Boys (1987) UHD BluRay REMUX 2160p HEVC DTS-HD MA 5.1-FraMeSToR",https://hduse.net/topic-the-lost-boys-1987-uhd-bluray-remux-2160p-hevc-dts-hd-ma-5-1-framestor.html
1,"The Last Detail (1973) UHD BluRay REMUX 2160p HEVC DV FLAC 2.0-FraMeSToR",https://hduse.net/topic-the-last-detail-1973-uhd-bluray-remux-2160p-hevc-dv-flac-2-0-framestor.html
1,"The Bride of Frankenstein (1935) UHD BluRay REMUX 2160p HEVC FLAC 2.0-FraMeSToR",https://hduse.net/topic-the-bride-of-frankenstein-1935-uhd-bluray-remux-2160p-hevc-flac-2-0-framestor.html
1,"Mortal Kombat Legends Snow Blind (2022) UHD BluRay REMUX 2160p HEVC DTS-HD MA 5.1",https://hduse.net/topic-mortal-kombat-legends-snow-blind-2022-uhd-bluray-remux-2160p-hevc-dts-hd-ma-5-1.html
1,"Batman and Superman Battle of the Super Sons (2022) UHD BluRay REMUX 2160p HEVC DTS",https://hduse.net/topic-batman-and-superman-battle-of-the-super-sons-2022-uhd-bluray-remux-2160p-hevc-dts.html
